"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.321848917E0,-8.524171477E-2,-9.128556132E-2,1.109099865E-1,1.670336156E-1
2.331858917E0,-1.215557562E-2,-3.023185909E-2,3.845234263E-1,3.859015272E-1
2.341837917E0,5.469646320E-2,-6.275231838E-2,1.512627912E-1,1.726556936E-1
2.351847917E0,3.637627775E-2,-2.716060907E-1,2.790059248E-2,2.754478991E-1
2.361826917E0,6.939395137E-2,-6.956315517E-2,-1.468235850E-1,1.766683847E-1
2.371836917E0,4.097429059E-2,-2.909247065E-1,1.639185047E-1,3.364303100E-1
2.381845917E0,1.523345858E-3,-8.669783592E-2,-2.180075884E-1,2.346191466E-1
2.391825917E0,-3.009803094E-2,-6.430943191E-2,-1.546471596E-2,7.266878242E-2
2.401834917E0,-3.540907519E-2,-2.124907404E-1,4.250294280E-1,4.765040735E-1
2.411814917E0,-1.442495311E-2,-1.967219692E-1,1.478749327E-1,2.465250660E-1
2.421823917E0,-2.678598527E-2,5.114150226E-2,-2.362719329E-1,2.432228783E-1
2.431803917E0,8.346730409E-2,-2.116692066E-2,-7.442100367E-2,1.138126319E-1
2.441812917E0,-1.658946078E-1,-2.205686688E-2,3.882481027E-1,4.227814039E-1
2.451822917E0,-1.576721800E-2,-1.684454191E-1,2.195617966E-1,2.771819743E-1
2.461801917E0,7.738126623E-2,-1.869249594E-1,2.576704033E-1,3.276016446E-1
2.471811917E0,-4.780000124E-2,-1.645008874E-1,2.856435013E-1,3.330729528E-1
2.481790917E0,3.245274123E-2,-2.041257137E-1,5.846983591E-2,2.148003937E-1
2.491800917E0,-4.652879829E-2,-3.078968346E-2,8.565237204E-2,1.022216343E-1
2.501779917E0,2.692788988E-3,-1.260495973E-1,3.742954767E-1,3.949593092E-1
2.511789917E0,2.935941797E-2,-1.218717617E-1,2.433459492E-1,2.737370138E-1
2.521799917E0,1.654880801E-2,-1.625841701E-1,7.961219827E-2,1.817844260E-1
2.531778917E0,-4.442500664E-2,8.370289207E-3,-6.338496884E-2,7.785433342E-2
2.541788917E0,1.272268428E-1,-1.105784494E-1,6.773533383E-2,1.816654575E-1
2.551767917E0,1.535155406E-2,-3.768682516E-1,5.791318098E-2,3.816009510E-1
2.561777917E0,-2.416912055E-1,-5.460363865E-2,-1.844714860E-1,3.089108695E-1
2.571756917E0,1.518223331E-1,-1.772080564E-1,-1.941018319E-1,3.035263370E-1
2.581766917E0,3.649702275E-2,-9.037456512E-3,8.646745563E-2,9.428854211E-2
2.591776917E0,-7.990172680E-2,1.466820824E-1,1.227552942E-1,2.072891254E-1
2.601755917E0,1.805167034E-2,-2.440048939E-1,2.187057459E-1,3.281713795E-1
2.611765917E0,-1.837049709E-1,-6.830717325E-2,7.737620473E-2,2.107141744E-1
2.621744917E0,7.700344473E-3,4.199470282E-2,-1.952747834E-1,1.998876969E-1
2.631754917E0,6.884391110E-2,-1.740014434E-1,2.235928671E-1,2.915643267E-1
2.641733917E0,-1.220123689E-1,-1.827710974E-1,4.594660199E-1,5.093145547E-1
2.651743917E0,6.961916054E-2,-3.898017079E-1,2.308950344E-2,3.966425647E-1
2.661753917E0,7.948946156E-2,-9.206324100E-2,-8.436245799E-2,1.480244546E-1
2.671732917E0,1.697658665E-2,-6.362296879E-2,1.572386638E-1,1.704701852E-1
2.681742917E0,-1.208158459E-1,2.317257410E-1,7.535893360E-2,2.719784119E-1
2.691721917E0,-2.588653732E-2,2.988745809E-2,1.201894995E-1,1.265262374E-1
2.701731917E0,1.677252614E-1,-2.313351470E-1,3.717975461E-1,4.689148418E-1
2.711731292E0,-8.806422058E-2,-2.120130229E-1,6.041343212E-3,2.296547989E-1
2.721741292E0,-2.268995589E-2,-2.301294512E-1,-6.385744214E-2,2.399003362E-1
2.731750292E0,4.009490591E-2,-2.967321610E-1,6.940060258E-2,3.073662644E-1
2.741730292E0,-6.779245382E-2,-7.833573282E-2,9.692929387E-2,1.418717443E-1
2.751739292E0,-9.943343706E-2,4.294078231E-2,2.317485452E-1,2.558091229E-1
2.761719292E0,3.762730781E-2,-3.818231821E-4,4.184267521E-3,3.786116977E-2
2.771728292E0,1.384813259E-1,-7.000929773E-2,-1.830108333E-1,2.399402936E-1
2.781708292E0,-1.277696471E-1,-1.434029639E-1,-1.139154553E-2,1.924038983E-1
2.791717292E0,-8.681978691E-2,-3.526976162E-1,2.056278817E-1,4.173920335E-1
2.801727292E0,6.080578029E-2,-3.534817278E-1,5.884871721E-2,3.634691821E-1
2.811707292E0,-2.171150840E-1,-1.118876410E-1,4.149768949E-2,2.477495956E-1
2.821716292E0,-1.061428429E-1,-9.664745808E-2,1.649850368E-2,1.444964874E-1
2.831696292E0,1.714562600E-1,-1.795475274E-1,7.123896718E-2,2.582819277E-1
2.841705292E0,1.046399989E-1,1.400875926E-2,2.102986193E-1,2.353110366E-1
2.851685292E0,-1.505424690E-1,1.946924007E-1,3.720138931E-1,4.460521298E-1
2.861694292E0,-3.309787184E-2,1.681074500E-2,2.085585062E-1,2.118365426E-1
2.871704292E0,1.084998007E-1,-1.196042114E-1,-5.155371269E-2,1.695144815E-1
2.881683292E0,5.500340547E-2,-1.914501196E-1,-5.541055441E-2,2.067579562E-1
2.891693292E0,-5.153211454E-2,-2.965842265E-1,1.373592635E-1,3.308856744E-1
2.901672292E0,1.184563665E-2,-1.719490707E-1,-2.236793693E-1,2.823814128E-1
2.911682292E0,9.316854749E-2,-2.808505386E-1,6.196762204E-2,3.023200117E-1
2.921692292E0,1.069042601E-1,-1.863431615E-1,-7.848132849E-3,2.149741562E-1
2.931671292E0,-5.232671460E-2,-1.434093958E-1,-1.170940018E-1,1.923937242E-1
2.941681292E0,-6.757276297E-2,-1.757275414E-1,-9.315197429E-2,2.100560340E-1
2.951660292E0,-2.821356470E-2,-2.801933116E-1,9.807419697E-2,2.981993380E-1
2.961670292E0,-1.214928621E-1,-1.088225305E-1,4.686894178E-2,1.697043205E-1
2.971649292E0,-1.902062707E-3,-6.797212780E-2,-2.717224685E-1,2.801016385E-1
2.981659292E0,6.412751041E-3,-1.172355044E-1,2.334886765E-1,2.613469895E-1
2.991669292E0,-4.146388527E-2,-1.595213985E-1,4.252270639E-1,4.560530520E-1
3.001648292E0,-2.295141779E-2,9.808411896E-2,-2.489112926E-1,2.685220541E-1
3.011658292E0,3.529987844E-2,5.897092402E-2,-1.129611897E-1,1.322266300E-1
3.021637292E0,1.178378772E-1,-2.148173475E-1,1.336731970E-1,2.791071151E-1
3.031647292E0,-6.987956263E-2,-3.800982535E-2,3.697089207E-1,3.781700493E-1
3.041626292E0,-1.985147987E-3,7.408129871E-2,1.030689069E-1,1.269455757E-1
3.051636292E0,5.522474086E-2,-1.143130660E-3,-5.414987644E-2,7.735171536E-2
3.061645292E0,-1.330293820E-1,1.133190393E-3,2.215147666E-1,2.583929032E-1
3.071625292E0,1.363877852E-1,-2.134759963E-1,4.986624280E-2,2.581865045E-1
